model,sample_id,level,sigma,token_flip_frac
vqgan,n01537544/ILSVRC2012_val_00002449,high,0.5,0.9296875
vqgan,n01537544/ILSVRC2012_val_00010352,low,0.1,0.8125
vqgan,n01537544/ILSVRC2012_val_00010352,mid,0.2,0.89453125
vqgan,n01537544/ILSVRC2012_val_00010352,high,0.5,0.984375
vqgan,n01537544/ILSVRC2012_val_00023187,low,0.1,0.72265625
vqgan,n01537544/ILSVRC2012_val_00023187,mid,0.2,0.86328125
vqgan,n01537544/ILSVRC2012_val_00023187,high,0.5,0.9765625
vqgan,n01537544/ILSVRC2012_val_00027498,low,0.1,0.8515625
vqgan,n01537544/ILSVRC2012_val_00027498,mid,0.2,0.9296875
vqgan,n01537544/ILSVRC2012_val_00027498,high,0.5,0.9765625
vqgan,n01537544/ILSVRC2012_val_00035565,low,0.1,0.7890625
vqgan,n01537544/ILSVRC2012_val_00035565,mid,0.2,0.87890625
vqgan,n01537544/ILSVRC2012_val_00035565,high,0.5,0.96484375
vqgan,n01537544/ILSVRC2012_val_00043965,low,0.1,0.6953125
vqgan,n01537544/ILSVRC2012_val_00043965,mid,0.2,0.87890625
vqgan,n01537544/ILSVRC2012_val_00043965,high,0.5,0.99609375
vqgan,n01537544/ILSVRC2012_val_00048659,low,0.1,0.88671875
vqgan,n01537544/ILSVRC2012_val_00048659,mid,0.2,0.9453125
vqgan,n01537544/ILSVRC2012_val_00048659,high,0.5,0.9765625
vqgan,n01558993/ILSVRC2012_val_00012651,low,0.1,0.7421875
vqgan,n01558993/ILSVRC2012_val_00012651,mid,0.2,0.87109375
vqgan,n01558993/ILSVRC2012_val_00012651,high,0.5,0.96875
vqgan,n01558993/ILSVRC2012_val_00019208,low,0.1,0.83984375
vqgan,n01558993/ILSVRC2012_val_00019208,mid,0.2,0.9375
vqgan,n01558993/ILSVRC2012_val_00019208,high,0.5,0.98828125
vqgan,n01558993/ILSVRC2012_val_00028607,low,0.1,0.69921875
vqgan,n01558993/ILSVRC2012_val_00028607,mid,0.2,0.83203125
vqgan,n01558993/ILSVRC2012_val_00028607,high,0.5,0.94140625
vqgan,n01558993/ILSVRC2012_val_00029417,low,0.1,0.77734375
vqgan,n01558993/ILSVRC2012_val_00029417,mid,0.2,0.88671875
vqgan,n01558993/ILSVRC2012_val_00029417,high,0.5,0.984375
vqgan,n01558993/ILSVRC2012_val_00040426,low,0.1,0.6875
vqgan,n01558993/ILSVRC2012_val_00040426,mid,0.2,0.8515625
vqgan,n01558993/ILSVRC2012_val_00040426,high,0.5,0.98828125
vqgan,n01558993/ILSVRC2012_val_00043300,low,0.1,0.6796875
vqgan,n01558993/ILSVRC2012_val_00043300,mid,0.2,0.890625
vqgan,n01558993/ILSVRC2012_val_00043300,high,0.5,0.98046875
vqgan,n01560419/ILSVRC2012_val_00000198,low,0.1,0.73828125
vqgan,n01560419/ILSVRC2012_val_00000198,mid,0.2,0.8828125
vqgan,n01560419/ILSVRC2012_val_00000198,high,0.5,0.97265625
vqgan,n01560419/ILSVRC2012_val_00011267,low,0.1,0.50390625
vqgan,n01560419/ILSVRC2012_val_00011267,mid,0.2,0.7265625
vqgan,n01560419/ILSVRC2012_val_00011267,high,0.5,0.921875
vqgan,n01560419/ILSVRC2012_val_00014046,low,0.1,0.8125
vqgan,n01560419/ILSVRC2012_val_00014046,mid,0.2,0.90625
vqgan,n01560419/ILSVRC2012_val_00014046,high,0.5,0.98046875
vqgan,n01560419/ILSVRC2012_val_00026929,low,0.1,0.7578125
vqgan,n01560419/ILSVRC2012_val_00026929,mid,0.2,0.90234375
vqgan,n01560419/ILSVRC2012_val_00026929,high,0.5,0.96875
vqgan,n01560419/ILSVRC2012_val_00036999,low,0.1,0.50390625
vqgan,n01560419/ILSVRC2012_val_00036999,mid,0.2,0.765625
vqgan,n01560419/ILSVRC2012_val_00036999,high,0.5,0.91796875
vqgan,n01560419/ILSVRC2012_val_00041990,low,0.1,0.86328125
vqgan,n01560419/ILSVRC2012_val_00041990,mid,0.2,0.93359375
vqgan,n01560419/ILSVRC2012_val_00041990,high,0.5,0.984375
vqgan,n01580077/ILSVRC2012_val_00000880,low,0.1,0.6796875
